stay_date,occ_forecast
2025-01-01,0.7589183967776444
2025-01-02,0.7449145324378184
2025-01-03,0.7147657542033794
2025-01-04,0.7050240015803543
2025-01-05,0.7477384349785917
2025-01-06,0.740905292201206
2025-01-07,0.7131854883534255
2025-01-08,0.7209382417282684
2025-01-09,0.7362468425838551
2025-01-10,0.7425636495483775
2025-01-11,0.7892217863706179
2025-01-12,0.8576626995697173
2025-01-13,0.8552921077652489
2025-01-14,0.8385081010377801
2025-01-15,0.7918049660849786
2025-01-16,0.7895275074702384
2025-01-17,0.7444795530124696
2025-01-18,0.6838049664807081
2025-01-19,0.7040596124922327
2025-01-20,0.738047251908714
2025-01-21,0.7513363629224018
2025-01-22,0.7633370611917156
2025-01-23,0.7704250060029383
2025-01-24,0.7301130446504628
2025-01-25,0.6954820617766961
2025-01-26,0.7489228571579382
2025-01-27,0.7724848751138236
2025-01-28,0.7488248255023524
2025-01-29,0.7292051669542257
2025-01-30,0.7411046333339104
2025-01-31,0.7098011030186445
2025-02-01,0.7018310514677215
2025-02-02,0.782490761149674
2025-02-03,0.7737362901637577
2025-02-04,0.7658348839228174
2025-02-05,0.7655948116654019
2025-02-06,0.8144482944114572
2025-02-07,0.801983369798301
2025-02-08,0.8076975892605236
2025-02-09,0.8444358206293322
2025-02-10,0.7870856522278307
2025-02-11,0.7850222271849459
2025-02-12,0.8195475735442102
2025-02-13,0.8564235240710898
2025-02-14,0.8050737835630393
2025-02-15,0.8077517479945141
2025-02-16,0.8266226961945347
2025-02-17,0.8533862653519402
2025-02-18,0.821623029638438
2025-02-19,0.8107257807886664
2025-02-20,0.8096276152869724
2025-02-21,0.7916672360004898
2025-02-22,0.7816708327797663
2025-02-23,0.8279527878808427
2025-02-24,0.7904096904654496
2025-02-25,0.7769905823605933
2025-02-26,0.7967342170238929
2025-02-27,0.8035466431278037
2025-02-28,0.7888290473091234
2025-03-01,0.7842218448119163
2025-03-02,0.7867929050591728
2025-03-03,0.7987466870481039
2025-03-04,0.8174404851141203
2025-03-05,0.826185287722262
2025-03-06,0.8261879278039486
2025-03-07,0.7967936856818718
2025-03-08,0.7905152082705774
2025-03-09,0.8187444270265049
2025-03-10,0.8116966194976639
2025-03-11,0.8198565656672445
2025-03-12,0.813902895040586
2025-03-13,0.8375973024007778
2025-03-14,0.8388796661999478
2025-03-15,0.7879077908251463
2025-03-16,0.765496713432044
2025-03-17,0.7758833203335728
2025-03-18,0.7660267873105481
2025-03-19,0.7760505469137426
2025-03-20,0.7605355268820805
2025-03-21,0.7550300090630943
2025-03-22,0.7396335006744198
2025-03-23,0.7303959918271661
2025-03-24,0.7587508454393557
2025-03-25,0.7413224470728622
2025-03-26,0.7568023860919854
2025-03-27,0.7575450029580455
2025-03-28,0.7817010286606979
2025-03-29,0.7348580216542119
2025-03-30,0.7334823045775766
2025-03-31,0.7579800308024637
2025-04-01,0.7686909949621705
2025-04-02,0.7746016924876213
2025-04-03,0.7960622287283436
2025-04-04,0.7720529016992632
2025-04-05,0.7626264784244342
2025-04-06,0.7536336977852999
2025-04-07,0.7442787330016146
2025-04-08,0.7613519701566379
2025-04-09,0.7601121275811402
2025-04-10,0.780169495693436
2025-04-11,0.8003825555318191
2025-04-12,0.7744919976607821
2025-04-13,0.7879423879664563
2025-04-14,0.769085112570739
2025-04-15,0.758611605431342
2025-04-16,0.779704379462153
2025-04-17,0.7896506450645175
2025-04-18,0.7999885623496117
2025-04-19,0.7734927248157604
2025-04-20,0.763664708156312
2025-04-21,0.7611454211113634
2025-04-22,0.769087173213469
2025-04-23,0.7855689326398599
2025-04-24,0.8103377878366047
2025-04-25,0.8168786471683938
2025-04-26,0.7960007167282562
2025-04-27,0.7926583472102554
2025-04-28,0.7863772106645998
2025-04-29,0.7939595745841704
2025-04-30,0.7909939791508915
2025-05-01,0.8024943847878735
2025-05-02,0.8120612308446775
2025-05-03,0.7832328455968168
2025-05-04,0.7830486984266042
2025-05-05,0.7863182986491261
2025-05-06,0.7795593278353359
2025-05-07,0.7929390075954021
2025-05-08,0.8145471279112384
2025-05-09,0.8181308821435886
2025-05-10,0.787871836946922
2025-05-11,0.7936763508798516
2025-05-12,0.7939416022931076
2025-05-13,0.8079828555371752
2025-05-14,0.8463948856628076
2025-05-15,0.8662617945339596
2025-05-16,0.8627278015945257
2025-05-17,0.8477392898582539
2025-05-18,0.8295768648310579
2025-05-19,0.8304886749174434
2025-05-20,0.841157799433122
2025-05-21,0.8255176689780537
2025-05-22,0.8089594955247623
2025-05-23,0.8185417189541714
2025-05-24,0.7959330733223718
2025-05-25,0.792612278237724
2025-05-26,0.7992460090136142
2025-05-27,0.7976709795286749
2025-05-28,0.7947604252623306
2025-05-29,0.7789210904239356
2025-05-30,0.7821872967047596
2025-05-31,0.7756773232333055
2025-06-01,0.7765960281945097
2025-06-02,0.7945675814573502
2025-06-03,0.7981944480063152
2025-06-04,0.8377716392197297
2025-06-05,0.8504831471159037
2025-06-06,0.847473170657213
2025-06-07,0.8112586445591663
2025-06-08,0.8239975367182746
2025-06-09,0.8416997925900875
2025-06-10,0.8573762921569572
2025-06-11,0.856574685066274
2025-06-12,0.8407281731663458
2025-06-13,0.8396339753928336
2025-06-14,0.8013694998178483
2025-06-15,0.7960486290260486
2025-06-16,0.7968017107249906
2025-06-17,0.8118713032759208
2025-06-18,0.8080193412248763
2025-06-19,0.8326813631148712
2025-06-20,0.8541722587575801
2025-06-21,0.8628933114117852
2025-06-22,0.8500982364375349
2025-06-23,0.8391051738831664
2025-06-24,0.8631943907648646
