stay_date,occ,adr,revpar
2022-12-30,0.8596961280836456,443.337802551926,381.13579228700297
2022-12-31,0.8929913412841036,485.070998102963,433.164201213984
2023-01-01,0.713706910635518,314.0638605034224,224.14954762216158
2023-01-02,0.577846757065839,245.04869779839828,141.60059534601123
2023-01-03,0.5828786146054564,223.03667352186775,130.0033072686358
2023-01-04,0.6128083646462998,218.08872890612218,133.6465973087509
2023-01-05,0.6261721940859334,207.68893036094263,130.04903321147214
2023-01-06,0.6612318248652187,208.36425246974372,137.77707489724565
2023-01-07,0.662963568044437,208.39115054504987,138.15574071423174
2023-01-08,0.48240483581114196,194.22319754866567,93.69420972417905
2023-01-09,0.5625224636497304,214.90264324095384,120.88756432074044
2023-01-10,0.6399281163208634,227.17038446344588,145.37271621357908
2023-01-11,0.6466590426400923,225.62966100402406,145.90546057607057
2023-01-12,0.6336546315961439,219.02462522604074,138.78596820809045
2023-01-13,0.7668028099983658,246.04500441639522,188.6680007725523
2023-01-14,0.9350432935794801,274.96328602908363,257.1025765820711
2023-01-15,0.8374775363502698,262.63874588465984,219.95404985360946
2023-01-16,0.7328541088057509,258.2325305849575,189.24677106649278
2023-01-17,0.7403038719163534,256.64391890887276,189.99448687202516
2023-01-18,0.6828622774056536,239.83976583416438,163.77752870995593
2023-01-19,0.6273484724718187,215.95788184204804,135.48084729185828
2023-01-20,0.6224473125306323,212.4313358282558,132.22731408359004
2023-01-21,0.6733213527201443,212.75175181696295,143.2502973269778
2023-01-22,0.5057670315307953,195.55460638201092,98.90507277200282
2023-01-23,0.6584871752981543,218.74667677979974,144.0418812985886
2023-01-24,0.7764090834830902,235.18616151272965,182.60067210800463
2023-01-25,0.78173501061918,234.39548991652242,183.23516079898053
2023-01-26,0.675053095899364,212.36373729107157,143.35679831509685
2023-01-27,0.650645319392256,207.68144787732035,135.1269619859853
2023-01-28,0.7137069106355165,216.17262287012167,154.28389483261128
2023-01-29,0.5107988890704138,201.49319306785685,102.9224991743116
2023-01-30,0.5899689593203732,220.36854494982978,130.01060113099578
2023-01-31,0.6288188204541748,224.44508682120568,141.13529475164526
2023-02-01,0.6315307956216297,226.39388627161838,142.97471112098808
2023-02-02,0.5818003594183948,214.3211608012572,124.69212838513923
2023-02-03,0.607678483907858,210.87397158173346,128.14357534641655
2023-02-04,0.6620486848554161,217.28839467876273,143.8554959314194
2023-02-05,0.5256330664924038,205.31640091900377,107.92108941623962
2023-02-06,0.6544028753471651,223.1456257925886,146.0271391398126
2023-02-07,0.7291619016500581,236.5954457445287,172.51638514082347
2023-02-08,0.7034471491586347,233.9755636762448,164.58944324083888
2023-02-09,0.6623427544518867,217.9998423104852,144.39061602600376
2023-02-10,0.7064858683221698,217.5173356686154,153.6729237649666
2023-02-11,0.7646136252246364,225.56937895028025,172.47342057884362
2023-02-12,0.5608887436693347,202.93464249600996,113.82375667657269
2023-02-13,0.6486195066165659,223.10136321911614,144.70789613666636
2023-02-14,0.7181179545825846,237.4675914554226,170.5297410556209
2023-02-15,0.7241953929096563,235.01650909003496,170.19787314071343
2023-02-16,0.6830909982029082,222.44715542271723,151.95164944510134
2023-02-17,0.7719054242002774,242.05624011942461,186.84452470970885
2023-02-18,0.88727568777774,259.28652901115464,230.05863335987522
2023-02-19,0.7596254961158793,230.41762716873072,175.03110435189072
2023-02-20,0.6352997048746558,217.45614850246122,138.14982696679309
2023-02-21,0.7359815461854203,231.5290170349517,170.40108394417422
2023-02-22,0.7911055327521291,236.40363085498709,187.02022033207209
2023-02-23,0.7625428270972563,226.12394155067133,172.42918966442352
2023-02-24,0.7730587876115191,225.84650661460864,174.5926265897865
2023-02-25,0.7294684351572305,226.78638315811457,165.43350803731795
2023-02-26,0.5108382238203469,207.82058054913227,106.16269624103202
2023-02-27,0.6234268462295199,232.396306952495,144.88209671878127
2023-02-28,0.7026018521659494,247.82951376216857,174.12547539068612
2023-03-01,0.7393059466060579,255.24352277078967,188.70305421712374
2023-03-02,0.7164761355541241,242.9622587954825,174.0766602672881
2023-03-03,0.7113538451100783,245.89925108702022,174.92137777044047
2023-03-04,0.7635944231486825,252.09123645590793,192.49546228238702
2023-03-05,0.6143356287526722,235.274998527575,144.5378141502216
2023-03-06,0.7677329624478451,268.5157564431714,206.1483971580398
2023-03-07,0.8512161199497943,290.82326957682915,247.55345512030172
2023-03-08,0.8213982835238645,289.34136664174423,237.66450191197785
2023-03-09,0.7694969300179795,266.513865828198,205.0816015620219
2023-03-10,0.7922588961633705,266.81785094715093,211.38881606807252
2023-03-11,0.8385969673326783,276.55017799959154,231.91414058576962
2023-03-12,0.7286203738254347,258.11511429710487,188.06793106915143
2023-03-13,0.8585433698565083,292.55137299424547,251.16804162662774
2023-03-14,0.9069507106753962,320.1494719069766,290.35979106838516
2023-03-15,0.9123104582923429,322.60625790514234,294.3170629974185
2023-03-16,0.9028800162827778,306.161069977574,276.42671184650465
2023-03-17,0.8669561382679198,302.5275562861372,262.27812191746017
2023-03-18,0.8602055700668274,300.531352360052,258.5187432798331
2023-03-19,0.6928661080769367,273.26768654916884,189.3379184425107
2023-03-20,0.8066080938973504,312.0756193671184,251.7227204895465
2023-03-21,0.8716374368194312,333.77261258936124,290.92870451791566
2023-03-22,0.8658027748566779,331.13723188977264,286.69953422852427
2023-03-23,0.8312018725194198,292.6720482499802,243.26955453947778
2023-03-24,0.8040639099019631,275.48438236837256,221.50704960404136
2023-03-25,0.8393432613046578,280.9620237471081,235.82358131465438
2023-03-26,0.6536517520947117,248.97598721045046,162.7435902696214
2023-03-27,0.7307574883815602,281.0616726781942,205.38792200663727
2023-03-28,0.7985006275653856,302.00979867167274,241.15501377022642
2023-03-29,0.8321856236643036,300.86845378626623,250.37840185503862
2023-03-30,0.7915465246446626,285.0112673779762,225.59967817760767
2023-03-31,0.8006377421215107,287.7473566066591,230.38139389498855
2023-04-01,0.8717052817259741,311.588279583629,271.613149036959
2023-04-02,0.7424946572136102,287.72639193888585,213.63530875397177
2023-04-03,0.843956714949625,321.74697831756055,271.5405228658567
2023-04-04,0.8654635503239589,342.4820396626921,296.4057219686646
2023-04-05,0.814647715322772,334.93755198539196,272.8561115007018
2023-04-06,0.8338139014213511,320.5133447798067,267.24848246845715
2023-04-07,0.8955188439227931,330.11948406896124,295.6282187298249
2023-04-08,0.8544387530106186,331.4071603813209,283.16712085500563
2023-04-09,0.6861155398758441,287.26360767263793,197.09602526499455
2023-04-10,0.7151870823297948,309.6964342744598,221.49088923669177
2023-04-11,0.8108823230095996,339.56206659007347,275.3448773624993
2023-04-12,0.8523016384544932,344.0183367995294,293.2073921126285
2023-04-13,0.8422266698327626,324.7377012394853,273.5027526840782
2023-04-14,0.8307608806268871,319.85178567034785,265.7203511335805
2023-04-15,0.7706502934292213,318.17216221616343,245.199470172896
2023-04-16,0.6016147087757381,283.9951156409575,170.85563879006685
2023-04-17,0.7137962617456484,320.9243303625108,229.07458731598604
2023-04-18,0.827199023033346,350.91141483803887,290.27357952527484
2023-04-19,0.8408358492486177,345.5332585203059,290.5367508715636
2023-04-20,0.8367651548559978,330.8104353157061,276.8106451349273
2023-04-21,0.8714531088972854,328.3933303023597,286.1793886331247
2023-04-22,0.9099622122981788,333.61577638148106,303.5777499336672
2023-04-23,0.6806595671590521,292.0588402478303,198.79264378806286
2023-04-24,0.8149433184472695,331.6443623981312,270.27135723706175
2023-04-25,0.9327035383029882,371.0828742093721,346.1103097787242
2023-04-26,0.9387839230504981,373.1100639411583,350.2697295563027
2023-04-27,0.8869117141875633,341.63288991304887,302.9982120156337
2023-04-28,0.8802129852284445,334.7966983572679,294.69240130567766
2023-04-29,0.8948471315699067,339.5419134228814,303.8381072742232
2023-04-30,0.6931638612160773,309.6513733251061,214.63914156489145
2023-05-01,0.7888698041910004,356.0414805949878,280.8703730808416
2023-05-02,0.8819306080384742,381.60354752130644,336.5478486951048
2023-05-03,0.9116454826520085,376.018116309964,342.7952171292966
2023-05-04,0.850601167983511,353.15258633876226,300.3920024161488
2023-05-05,0.8080041222947444,328.4859820549881,265.4180276164677
2023-05-06,0.8336997595328068,322.6064757598128,268.9569412646821
2023-05-07,0.6405702507729311,326.6229187477229,209.22492497041532
2023-05-08,0.7624184129165237,359.03787215603137,273.7370846661271
2023-05-09,0.8877361731363795,381.72677028184376,338.8726622337137
2023-05-10,0.9285317598056226,383.5644069171148,356.1517337535487
2023-05-11,0.8255119750086768,355.7850055109793,293.7047825778418
2023-05-12,0.7945852134675463,333.240943459448,264.7883261948519
2023-05-13,0.8052065255119755,333.9546833583096,268.9024902653962
2023-05-14,0.6597709128774735,356.03161112575805,234.8993010856789
2023-05-15,0.8611940298507457,416.3397427672249,358.5493008607295
2023-05-16,0.9523082263103089,449.48385917862475,428.04717668950883
2023-05-17,0.9576883026726828,447.6136950444072,428.67439986012636
2023-05-18,0.8997223186393616,404.8126000362876,364.2189311190771
2023-05-19,0.8896563693162094,372.1400641935872,331.076778387568
2023-05-20,0.9000694203401597,358.4875175090703,322.6636520835718
2023-05-21,0.7610551891704267,345.8165399881743,263.18547225896253
2023-05-22,0.8616105518917043,372.7621037657629,321.1757619499317
2023-05-23,0.9068726136758076,378.59431203288824,343.33681327605933
